aaron	a: r O n
legókubbunum	l E: k ou k_h Y p O n Y m
legókubbur	l E: k ou k_h Y p Y r
legu	l E: G Y
lehman	l E: m a n
lehmann	l E: m a n
leicester	l E s t E r
leiddar	l ei t a r
leiddi	l ei t I
leiddir	l ei t I r
leiddist	l ei t I s t
leidd	l ei t
leiddu	l ei t Y
leiddumst	l ei t Y m s t
leiddur	l ei t Y r
leiðakerfi	l ei: D a c_h E r v I
leiða	l ei: D a
leiðandi	l ei: D a n t I
leiðangri	l ei: D au N k r I
leiðangrinum	l ei: D au N k r I n Y m
leiðangurinn	l ei: D au N k Y r I n
leiðara	l ei: D a r a
leiðarenda	l ei: D a r E n t a
leiðarinnar	l ei: D a r I n a r
leiðar	l ei: D a r
leiðarljósi	l ei: D a r l j ou s I
leiðarljós	l ei: D a r l j ou s
leiðarlokum	l ei: D a r l O k Y m
leiðarsteinninn	l ei: D a r_0 s t ei t n I n
leiðast	l ei: D a s t
leiðbeina	l ei D p ei n a
leiðbeinandi	l ei D p ei n a n t I
leiðbeiningar	l ei D p ei n i N k a r
leiðbeiningarnar	l ei D p ei n i N k a r t n a r
leiðbeiningarreglum	l ei D p ei n i N k a r E k l Y m
leiðbeiningarstöð	l ei D p ei n i N k a r_0 s t 9 D
leiðbeiningum	l ei D p ei n i N k Y m
leiðbeint	l ei D p ei n_0 t
leiðigjarnt	l ei: D I c a n_0 t
leiðina	l ei: D I n a
leiðinlega	l ei: D I n l E G a
leiðinlegir	l ei: D I n l ei j I r
leiðinleg	l ei: D I n l E G
leiðinlegri	l ei: D I n l E G r I
leiðinlegt	l ei: D I n l E x t
leiðinlegur	l ei: D I n l E G Y r
leiðin	l ei: D I n
leiðinni	l ei: D I n I
leiðir	l ei: D I r
leiðirnar	l ei: D I r t n a r
leiðist	l ei: D I s t
leið	l ei: D
leiðrétta	l ei D r j E h t a
leiðrétti	l ei D r j E h t I
leiðréttingar	l ei D r j E h t i N k a r
leiðréttingu	l ei D r j E h t i N k Y
leiðrétt	l ei D r j E h t
leiðsagnar	l ei D s a k n a r
leiðsögn	l ei D s 9 k n_0
leiðsögumenn	l ei D s 9 G Y m E n
leiðtogafundi	l ei D t_h O G a f Y n t I
leiðtoga	l ei D t_h O G a
leiðtogar	l ei D t_h O G a r
leiðtogarnir	l ei D t_h O G a r t n I r
leiðtogaskóli	l ei D t_h O G a s k ou l I
leiðtoginn	l ei D t_h Oi j I n
leiðtogum	l ei D t_h O G Y m
leiðum	l ei: D Y m
leifa	l ei: v a
leifi	l ei: v I
leifsdóttir	l ei f s t ou h t I r
leifs	l ei f s
leifssonar	l ei f s O n a r
leifsson	l ei f s O n
leifsstöð	l ei f s t 9 D
leifssyni	l ei f s I n I
leiftrandi	l ei f t r a n t I
leiftri	l ei f t r I
leiftruðu	l ei f t r Y D Y
leiftursókn	l ei f t Y r_0 s ou h k n_0
leifur	l ei: v Y r
leigan	l ei: G a n
leigða	l ei G D a
leigðar	l ei G D a r
leigði	l ei G D I
leigð	l ei G D
leigðu	l ei G D Y
leigðum	l ei G D Y m
leigh	l i:
leigi	l ei: j I
leigir	l ei: j I r
leigjandi	l ei: j a n t I
leigjenda	l ei j E n t a
leigjendasamtökin	l ei j E n t a s a m t_h 9 c I n
leigjendur	l ei: j E n t Y r
leigt	l ei x t
leigubifreiðarstjóra	l ei: G Y p I v r ei D a r_0 s t j ou r a
leigubílinn	l ei: G Y p i l I n
leigubíl	l ei: G Y p i l
leigubílstjóra	l ei: G Y p i l s t j ou r a
leigubílstjóri	l ei: G Y p i l s t j ou r I
leiguflugi	l ei: G Y f l Yi j I
leigugreiðslur	l ei: G Y k r ei D s t l Y r
leiguhúsnæði	l ei: G Y h u s t n ai D I
leiguíbúða	l ei: G Y i p u D a
leiguíbúðir	l ei: G Y i p u D I r
leiguíbúðum	l ei: G Y i p u D Y m
leigu	l ei: G Y
leigumarkaði	l ei: G Y m a r_0 k a D I
leigumorðingja	l ei: G Y m O r D i J c a
leiguna	l ei: G Y n a
leigusala	l ei: G Y s a l a
leigusali	l ei: G Y s a l I
leigusamninga	l ei: G Y s a m n i N k a
leigusamningi	l ei: G Y s a m n i J c I
leigusamning	l ei: G Y s a m n i N k
leigusamningur	l ei: G Y s a m n i N k Y r
leigutaka	l ei: G Y t_h a k a
leigutaki	l ei: G Y t_h a c I
leigutekjur	l ei: G Y t_h E c Y r
leiguverð	l ei: G Y v E r D
leikana	l ei: k a n a
leikanna	l ei: k a n a
leikara	l ei: k a r a
leikarann	l ei: k a r a n
leikarans	l ei: k a r a n s
leikaranum	l ei: k a r a n Y m
leikarar	l ei: k a r a r
leikararnir	l ei: k a r a r t n I r
leikaraskap	l ei: k a r a s k a p
leikarinn	l ei: k a r I n
leikar	l ei: k a r
leikarnir	l ei: k a r t n I r
leikatriðum	l ei: k a t r I D Y m
leikbanni	l ei: k p a n I
leikbann	l ei: k p a n
leikfélagið	l ei: k f j E l ai j I D
leikfélagi	l ei: k f j E l ai j I
leikfélag	l ei: k f j E l a G
leikfélags	l ei: k f j E l a x s
leikfimi	l ei: k f I m I
leikfær	l ei: k f ai r
leikföng	l ei: k f 9i N k
leikföngum	l ei: k f 9i N k Y m
leikgerð	l ei: c E r D
leikheimild	l ei: k h ei m I l t
leikhléi	l ei: k l_0 j E I
leikhlé	l ei: k l_0 j E
leikhlés	l ei: k l_0 j E s
leikhluta	l ei: k l_0 Y t a
leikhlutann	l ei: k l_0 Y t a n
leikhlutanum	l ei: k l_0 Y t a n Y m
leikhluti	l ei: k l_0 Y t I
leikhópurinn	l ei: k h ou p Y r I n
leikhúsið	l ei: k h u s I D
leikhúsi	l ei: k h u s I
leikhúsinu	l ei: k h u s I n Y
leikhús	l ei: k h u s
leikhúslífi	l ei: k h u s t l i v I
leikhússins	l ei: k h u s I n s
leikhúss	l ei: k h u s
leikhússtjóri	l ei: k h u s t j ou r I
leikið	l ei: c I D
leiki	l ei: c I
leikina	l ei: c I n a
leikin	l ei: c I n
leikinn	l ei: c I n
leikir	l ei: c I r
leikirnir	l ei: c I r t n I r
leikja	l ei: c a
leikjanna	l ei: c a n a
leikjatölvu	l ei: c a t_h 9 l v Y
leikjum	l ei: c Y m
leikjunum	l ei: c O n Y m
leikkafli	l ei: k_h a p l I
leikkerfi	l ei: c_h E r v I
leikkona	l ei: k_h O n a
leikkonan	l ei: k_h O n a n
leikkonu	l ei: k_h O n Y
leikkonuna	l ei: k_h O n Y n a
leikkonunnar	l ei: k_h O n Y n a r
leikkonunni	l ei: k_h O n Y n I
leikkonur	l ei: k_h O n Y r
leik	l ei: k
leiklistarhæfileika	l ei: k l I s t a r_0 h ai v I l ei k a
leiklistarskóla	l ei: k l I s t a r_0 s k ou l a
leiklist	l ei: k l I s t
leikmaðurinn	l ei: k m a D Y r I n
leikmannahópi	l ei: k m a n a h ou p I
leikmannahópinn	l ei: k m a n a h ou p_h I n
leikmannahóp	l ei: k m a n a h ou p
leikmannahópnum	l ei: k m a n a h ou h p n Y m
leikmanna	l ei: k m a n a
leikmannanna	l ei: k m a n a n a
leikmannaskipti	l ei: k m a n a s c I f t I
leikmanni	l ei: k m a n I
leikmanninn	l ei: k m a n I n
leikmanninum	l ei: k m a n I n Y m
leikmann	l ei: k m a n
leikmannsins	l ei: k m a n s I n s
leikmanns	l ei: k m a n s
leikmennina	l ei: k m E n I n a
leikmennirnir	l ei: k m E n I r t n I r
leikmenn	l ei: k m E n
leikmunageymslu	l ei: k m Y n a c ei m s t l Y
leikmönnum	l ei: k m 9 n Y m
leikmönnunum	l ei: k m 9 n O n Y m
leiknar	l ei h k n a r
leikni	l ei h k n I
leiknir	l ei h k n I r
leiknis	l ei h k n I s
leiknismenn	l ei h k n I s m E n
leiknum	l ei h k n Y m
leikreglna	l ei: k r E k l n a
leikreglum	l ei: k r E k l Y m
leikreglur	l ei: k r E k l Y r
leikrita	l ei: k r I t a
leikritasafn	l ei: k r I t a s a p n_0
leikritið	l ei: k r I t I D
leikriti	l ei: k r I t I
leikritinu	l ei: k r I t I n Y
leikrit	l ei: k r I t
leikritum	l ei: k r I t Y m
leikrænni	l ei: k r ai t n I
leiksins	l ei: k s I n s
leikskáld	l ei: k s k au l t
leikskólabarna	l ei: k s k ou l a p a r t n a
leikskólakennara	l ei: k s k ou l a c_h E n a r a
leikskólakennarar	l ei: k s k ou l a c_h E n a r a r
leikskólakennari	l ei: k s k ou l a c_h E n a r I
leikskóla	l ei: k s k ou l a
leikskólanefnd	l ei: k s k ou l a n E m t
leikskólanna	l ei: k s k ou l a n a
leikskólann	l ei: k s k ou l a n
leikskólanum	l ei: k s k ou l a n Y m
leikskólar	l ei: k s k ou l a r
leikskólastjóri	l ei: k s k ou l a s t j ou r I
leikskólinn	l ei: k s k ou l I n
leikskólum	l ei: k s k ou l Y m
leiks	l ei: k s
leiksloka	l ei: k s t l O k a
leikslok	l ei: k s t l O k
leikslokum	l ei k s t l O k Y m
leikstíl	l ei: k s t i l
leikstíll	l ei: k s t i t l_0
leikstjóra	l ei: k s t j ou r a
leikstjórann	l ei: k s t j ou r a n
leikstjórans	l ei: k s t j ou r a n s
leikstjóranum	l ei: k s t j ou r a n Y m
leikstjórar	l ei: k s t j ou r a r
leikstjóri	l ei: k s t j ou r I
leikstjórinn	l ei: k s t j ou r I n
leikstjórnandi	l ei: k s t j ou r t n a n t I
leikstjórn	l ei: k s t j ou r t n_0
leikstýra	l ei: k s t i r a
leikstýrði	l ei: k s t i r D I
leikstýrir	l ei: k s t i r I r
leikstýrt	l ei: k s t i r_0 t
leiksvæði	l ei: k s v ai D I
leiksýningar	l ei: k s i n i N k a r
leiksýning	l ei: k s i n i N k
leiksýningu	l ei: k s i n i N k Y
leiksýningum	l ei: k s i n i N k Y m
leiktilþrif	l ei: k t_h I l T r I v
leiktíðar	l ei: k t_h i D a r
leiktíðina	l ei: k t_h i D I n a
leiktíðinni	l ei: k t_h i D I n I
leiktíð	l ei: k t_h i D
leiktíma	l ei: k t_h i m a
leiktu	l ei x t Y
leiktæki	l ei: k t_h ai c I
leikum	l ei: k Y m
leikunum	l ei: k O n Y m
leikurinn	l ei: k Y r I n
leikurum	l ei: k Y r Y m
leikvangi	l ei: k v au J c I
leikvanginn	l ei: k v au J c I n
leikvanginum	l ei: k v au J c I n Y m
leikvelli	l ei: k v E t l I
leikvellinum	l ei: k v E t l I n Y m
leikverk	l ei: k v E r_0 k
lei	l ei:
leipzig	l ai p t s i k
leirklessa	l ei: r k_h l E s a
leirpyttir	l ei: r p_h I h t I r
leirtau	l ei r_0 t_h 9i
leist	l ei s t
leisure	l E s j Y r
leitaði	l ei: t a D I
leitað	l ei: t a D
leita	l ei: t a
leitarkönguló	l ei: t a r_0 k_h 9i N k Y l ou
leitar	l ei: t a r
leitarstjórinn	l ei: t a r_0 s t j ou r I n
leitast	l ei: t a s t
leiti	l ei: t I
leitina	l ei: t I n a
leitin	l ei: t I n
leitinni	l ei: t I n I
leitirnar	l ei: t I r t n a r
leitt	l ei h t
leituðu	l ei: t Y D Y
leituðum	l ei: t Y D Y m
leitum	l ei: t Y m
leka	l E: k a
lekann	l E: k a n
lekið	l E: c I D
leki	l E: c I
lektor	l E x t O r
lekur	l E: k Y r
le	l E:
lemgo	l E m k ou
lemja	l E m j a
lemon	l E m O n
lena	l E: n a
lendi	l E n t I
lendingar	l E n t i N k a r
lending	l E n t i N k
lendingu	l E n t i N k Y
lendir	l E n t I r
lendum	l E n t Y m
lengdar	l ei N t a r
lengdinni	l ei N t I n I
lengdist	l ei N t I s t
lengd	l ei N t
lengdur	l ei N t Y r
lengdust	l ei N t Y s t
lengi	l ei J c I
lenging	l ei J c i N k
lengingu	l ei J c i N k Y
lengir	l ei J c I r
lengist	l ei J c I s t
lengja	l ei J c a
lengjubikar	l ei J c Y p I k a r
lengjubikarnum	l ei J c Y p I k a r t n Y m
lengjubikarsins	l ei J c Y p I k a r_0 s I n s
lengra	l ei N k r a
lengri	l ei N k r I
lengsta	l ei N s t a
lengstra	l ei N s t r a
lengstu	l ei N s t Y
lengstum	l ei N s t Y m
lengstur	l ei N s t Y r
lengt	l ei N_0 t
lengur	l ei N k Y r
lennart	l E n a r_0 t
lennon	l E n O n
lens	l E n s
lenti	l E n_0 t I
lent	l E n_0 t
lentu	l E n_0 t Y
lentum	l E n_0 t Y m
leo	l E: ou
leonard	l E O n a r t
leonardo	l E O n a r t ou
leone	l E: O n E
leon	l E O n
leó	l E: ou
leósdóttir	l E: ou s t ou h t I r
leósson	l E: ou s O n
lepja	l E: p j a
leppana	l E h p a n a
lerki	l E r_0 c I
leroy	l i: r Oi
lesanda	l E: s a n t a
lesandann	l E: s a n t a n
lesandanum	l E: s a n t a n Y m
lesandinn	l E: s a n t I n
lesbók	l E: s p ou k
lesefni	l E: s E p n I
lesenda	l E: s E n t a
lesendum	l E: s E n t Y m
lesendur	l E: s E n t Y r
lesið	l E: s I D
lesi	l E: s I
lesin	l E: s I n
lesinn	l E: s I n
les	l Y
lesna	l E s t n a
lesnar	l E s t n a r
lesning	l E s t n i N k
less	l E s
lestarinnar	l E s t a r I n a r
lestarklefanum	l E s t a r_0 k_h l E v a n Y m
lestarlúgu	l E s t a r l u G Y
lestarstjórinn	l E s t a r_0 s t j ou r I n
lestina	l E s t I n a
lestin	l E s t I n
lestinni	l E s t I n I
lestir	l E s t I r
lestri	l E s t r I
lestu	l E s t Y
lestum	l E s t Y m
lesturinn	l E s t Y r I n
lestur	l E s t Y r
lesum	l E: s Y m
leti	l E: t I
let	l E t
letrið	l E: t r I D
letri	l E: t r I
let's	l E t s
lets	l E t s
letter	l E h t E r
letters	l E h t E r_0 s
lettlandi	l E h t l a n t I
lettlands	l E h t l a n t s
levante	l E: v a n_0 t E
levels	l E v E l s
leverkusen	l E: v E r k_h Y s E n
leví	l E: v i
levy	l E: v i
lewandowski	l E v a n t O v s c i
lewis	l u: I s
lexíu	l E k s i j Y
lex	l E k s
lexus	l E k s u s
leyfðar	l ei v D a r
leyfði	l ei v D I
leyfðir	l ei v D I r
leyfð	l ei v D
leyfðu	l ei v D Y
leyfður	l ei v D Y r
leyfið	l ei: v I D
leyfilegt	l ei: v I l E x t
leyfilegum	l ei: v I l E G Y m
leyfilegur	l ei: v I l E G Y r
leyfi	l ei: v I
leyfin	l ei: v I n
leyfir	l ei: v I r
leyfishafa	l ei: v I s h a v a
leyfis	l ei: v I s
leyfisleysi	l ei: v I s t l ei s I
leyfisveitingar	l ei: v I s v ei t i N k a r
leyft	l ei f t
leyfum	l ei: v Y m
leynast	l ei: n a s t
leyndarskráningu	l ei n t a r_0 s k r au n i N k Y
leyndi	l ei n t I
leyndu	l ei n t Y
leyndum	l ei n t Y m
leynilegt	l ei: n I l E x t
leyni	l ei: n I
leynilögregluna	l ei: n I l 9 G r E k l Y n a
leynilögreglustjórans	l ei: n I l 9 G r E k l Y s t j ou r a n s
leynir	l ei: n I r
leynist	l ei: n I s t
leyniþjónustan	l ei: n I T j ou n Y s t a n
leyniþjónustu	l ei: n I T j ou n Y s t Y
leyniþjónustunnar	l ei: n I T j ou n Y s t Y n a r
leynst	l ei n s t
leynt	l ei n_0 t
leysast	l ei: s a s t
leysi	l ei: s I
leysist	l ei: s I s t
leysti	l ei s t I
leystir	l ei s t I r
leystist	l ei s t I s t
leyst	l ei s t
leystu	l ei s t Y
leystur	l ei s t Y r
leytið	l ei: t I D
leyti	l ei: t I
leytinu	l ei: t I n Y
léki	l j E: c I
lék	l j E: k
léku	l j E: k Y
lékum	l j E: k Y m
lélega	l j E: l E G a
lélegar	l j E: l E G a r
lélegir	l j E: l ei j I r
léleg	l j E: l E G
lélegri	l j E: l E G r I
lélegt	l j E: l E x t
lélegu	l j E: l E G Y
lélegum	l j E: l E G Y m
lélegur	l j E: l E G Y r
lén	l j E: n
léreft	l j E: r E f t
lést	l j E s t
léti	l j E: t I
lét	l j E: t
létta	l j E h t a
léttan	l j E h t a n
léttara	l j E h t a r a
léttari	l j E h t a r I
léttar	l j E h t a r
léttast	l j E h t a s t
léttilega	l j E h t I l E G a
létti	l j E h t I
léttirinn	l j E h t I r I n
léttir	l j E h t I r
léttleika	l j E h t l ei k a
létt	l j E h t
léttreykt	l j E h t r ei x t
léttskýjað	l j E h t s c i j a D
léttu	l j E h t Y
léttum	l j E h t Y m
léttur	l j E h t Y r
léttúð	l j E h t u D
létu	l j E: t Y
létum	l E: t Y m
létust	l j E: t Y s t
lhí	E t l_0 h au i
liam	l i: j a m
library	l ai p r a r i
liðagigtar	l I: D a c I x t a r
liðagigt	l I: D a c I x t
liðakeppni	l I: D a c_h E h p n I
liða	l I: D a
liðanna	l I: D a n a
liðar	l I: D a r
liðhlaupar	l I D l_0 9i p a r
liðið	l I: D I D
liði	l I: D I
liðin	l I: D I n
liðinna	l I: D I n a
liðinnar	l I: D I n a r
liðinni	l I: D I n I
liðinn	l I: D I n
liðins	l I: D I n s
liðinu	l I: D I n Y
liðir	l I: D I r
liðka	l I T k a
liðlega	l I D l E G a
liðna	l I D n a
liðnar	l I D n a r
liðnir	l I D n I r
liðnu	l I D n Y
liðnum	l I D n Y m
liðsauka	l I D s 9i k a
liðsfélaga	l I D s f j E l a G a
liðsfélagar	l I D s f j E l a G a r
liðsfélagi	l I D s f j E l ai j I
liðsfélögum	l I D s f j E l 9 G Y m
liðsforingjann	l I D s f O r i J c a n
liðsheildin	l I D s h ei l t I n
liðsheild	l I D s h ei l t
liðsinni	l I D s I n I
liðsins	l I D s I n s
liðs	l I D s
liðsmaður	l I D s m a D Y r
liðsmanna	l I D s m a n a
liðsmenn	l I D s m E n
liðsmönnum	l I D s m 9 n Y m
liðsstjóri	l I D s t j ou r I
liðsstyrk	l I D s t I r_0 k
liðugir	l I: D Yi j I r
liðu	l I: D Y
liðum	l I: D Y m
liðunum	l I: D O n Y m
liðurinn	l I: D Y r I n
liechtensteinskir	l I C t E n s t ei n s k I r
liechtensteinskra	l I C t E n s t ei n s k r a
liechtensteinskum	l I C t E n s t ei n s k Y m
lie	l ai:
lies	l ai: s
lifað	l I: v a D
lifði	l I v D I
lifðu	l I v D Y
life	l ai: f
lifi	l I: v I
lifir	l I: v I r
lifna	l I p n a
lifrarbólgu	l I v r a r p ou l k Y
lifrarpylsu	l I v r a r_0 p_h I l s Y
lifum	l I: v Y m
liga	l i: k a
liggðu	l I G D Y
liggi	l I c I
liggja	l I c a
liggjandi	l I c a n t I
liggjum	l I c Y m
ligg	l I k
liggur	l I k Y r
lighthouse	l ai: t h au s
light	l ai: t
lightning	l ai: t n i N
lights	l ai: t s
like	l ai: k
likely	l ai: k l i
likes	l ai: k s
li	l i:
lilju	l I l j Y
lillabláa	l I l a p l au a
lillabláan	l I l a p l au a n
lillabláar	l I l a p l au a r
lillablái	l I l a p l au I
lillabláir	l I l a p l au I r
lillablá	l I l a p l au
lillablár	l I l a p l au r
lillablárra	l I l a p l au r a
lillablárrar	l I l a p l au r a r
lillablárri	l I l a p l au r I
lillablás	l I l a p l au s
lillablátt	l I l a p l au h t
lillabláu	l I l a p l au Y
lillabláum	l I l a p l au Y m
lillabláust	l I l a p l au Y s t
lilla	l I l a
lillan	l I l a n
lillanum	l I l a n Y m
lille	l I l
lilleström	l I l E s t r 9 m
lilli	l I l I
lillu	l I l Y
lillur	l I l Y r
lillý	l I l i
limited	l I m I t E t
limit	l I m I t
limman	l I m a n
limmu	l I m Y
limmuna	l I m Y n a
lina	l I: n a
lincoln	l i N k_h O n
linda	l I n t a
lindargötu	l I n t a r k 9 t Y
lindasókn	l I n t a s ou h k n_0
lindberg	l I n t p E r k
lind	l I n t
lindsay	l I n t s i
lindubuff	l I n t Y p Y f
lindu	l I n t Y
line	l ai: n
liner	l ai: n E r
lingard	l i N k a r t
lingus	l i N k u s
linings	l ai: n i N s
linka	l i N_0 k a
linkedin	l i N_0 k t I n
linkind	l i n c_h I n t
link	l i N_0 k
linkur	l i N_0 k Y r
linköping	l I n s j 9 p n i N
linni	l I n I
linnulaust	l I n Y l 9i s t
lint	l I n_0 t
linur	l I: n Y r
lionel	l ai O n E l
lion	l ai: j O n
lip	l I p
lippu	l I h p Y
lipran	l I: p r a n
liprari	l I: p r a r I
lips	l I p s
lipur	l I: p Y r
lisa	l i: s a
lissabon	l I s a p O n
listafólki	l I s t a f ou l_0 c I
listaháskóla	l I s t a h au s k ou l a
listaháskólanum	l I s t a h au s k ou l a n Y m
listahátíðar	l I s t a h au t_h i D a r
listahátíð	l I s t a h au t_h i D
listaklúbbi	l I s t a k_h l u p I
listakona	l I s t a k_h O n a
listakonan	l I s t a k_h O n a n
lista	l I s t a
listamaðurinn	l I s t a m a D Y r I n
listamaður	l I s t a m a D Y r
listamanna	l I s t a m a n a
listamannanna	l I s t a m a n a n a
listamanninn	l I s t a m a n I n
listamanninum	l I s t a m a n I n Y m
listamann	l I s t a m a n
listamannsins	l I s t a m a n s I n s
listamanns	l I s t a m a n s
listamennirnir	l I s t a m E n I r t n I r
listamenn	l I s t a m E n
listamönnum	l I s t a m 9 n Y m
listamönnunum	l I s t a m 9 n O n Y m
listanna	l I s t a n a
listann	l I s t a n
listans	l I s t a n s
listanum	l I s t a n Y m
listarinnar	l I s t a r I n a r
listar	l I s t a r
listasafnið	l I s t a s a p n I D
listasafni	l I s t a s a p n I
listasafninu	l I s t a s a p n I n Y
listasafn	l I s t a s a p n_0
listasafnsins	l I s t a s a p n_0 s I n s
listasafns	l I s t a s a p n_0 s
listastofnun	l I s t a s t O p n Y n
listavefurinn	l I s t a v E v Y r I n
listaverkabækur	l I s t a v E r_0 k a p ai k Y r
listaverkið	l I s t a v E r_0 c I D
listaverk	l I s t a v E r_0 k
listaverkum	l I s t a v E r_0 k Y m
listen	l I s E n
listfengi	l I s t f ei J c I
listi	l I s t I
listina	l I s t I n a
listin	l I s t I n
listinni	l I s t I n I
listinn	l I s t I n
listir	l I s t I r
list	l I s t
listmálari	l I s t m au l a r I
listnám	l I s t n au m
listræna	l I s t r ai n a
listrænan	l I s t r ai n a n
listræn	l I s t r ai n
listrænni	l I s t r ai t n I
listrænn	l I s t r ai t n_0
listrænt	l I s t r ai n_0 t
listsköpunar	l I s t s k 9 p Y n a r
listsköpun	l I s t s k 9 p Y n
listum	l I s t Y m
litað	l I: t a D
lita	l I: t a
litarendurgjafarstuðul	l I: t a r E n t Y r c a v a r_0 s t Y D Y l
litarhætti	l I: t a r_0 h ai h t I
litar	l I: t a r
litarmerkingu	l I: t a r m E r_0 c i N k Y
litasamsetningin	l I: t a s a m s E h t n i J c I n
litast	l I: t a s t
litbrigði	l I t p r I G D I
litfagurt	l I t f a G Y r_0 t
litháa	l I t h au a
litháana	l I: t h au a n a
litháanna	l I: t h au a n a
litháar	l I t h au a r
litháarnir	l I: t h au a r t n I r
litháen	l I: t h au E n
litháens	l I t h au E n s
lithái	l I: t h au I
litháíska	l I: t h au i s k a
litháískan	l I: t h au i s k a n
litháískar	l I: t h au i s k a r
litháíski	l I: t h au i s c I
litháískir	l I: t h au i s c I r
litháísk	l I: t h au i s k
litháískra	l I: t h au i s k r a
litháískrar	l I: t h au i s k r a r
litháískri	l I: t h au i s k r I
litháísks	l I: t h au i s k s
litháískt	l I: t h au i s t
litháísku	l I: t h au i s k Y
litháískum	l I: t h au i s k Y m
litháískur	l I: t h au i s k Y r
litháska	l I: t h au s k a
litháskir	l I: t h au s c I r
lithásku	l I: t h au s k Y
litháskum	l I: t h au s k Y m
litháum	l I: t h au Y m
litið	l I: t I D
litinn	l I: t I n
litir	l I: t I r
litirnir	l I: t I r t n I r
litist	l I: t I s t
litla	l I h t l a
litlar	l I h t l a r
litli	l I h t l I
litlir	l I h t l I r
lit	l I: t
litlubrú	l I h t l Y p r u
litlu	l I h t l Y
litlum	l I h t l Y m
litninga	l I h t n i N k a
litnum	l I h t n Y m
litríka	l I: t r i k a
litríkastir	l I: t r i k a s t I r
litrík	l I: t r i k
litríku	l I: t r i k Y
litríkum	l I: t r i k Y m
litrófi	l I: t r ou v I
litróf	l I: t r ou f
litrófsgreiningu	l I: t r ou f s k r ei n i N k Y
litrófs	l I: t r ou f s
little	l I h t 9 l
litu	l I: t Y
liturinn	l I: t Y r I n
liu	l i j u
lived	l I v t
live	l ai: v
liver	l I v E r
liverpool	l I: v E r_0 p_h u l
lives	l ai: v s
liv	l I: v
livorno	l i: v O r n ou
líbanon	l i: p a n O n
líbanons	l i: p a n O n s
líberíu	l i: p E r i j Y
líbíu	l i: p i j Y
líbýu	l i: p i j Y
líðandi	l i: D a n t I
líðan	l i: D a n
líðast	l i: D a s t
líði	l i: D I
líður	l i: D Y r
lífdaga	l i v t a G a
lífeðlisfræði	l i: v E D l I s f r ai D I
líferni	l i: v E r t n I
lífeyri	l i: v ei r I
lífeyrir	l i: v ei r I r
lífeyrisgreiðslur	l i: v ei r I s k r ei D s t l Y r
lífeyris	l i: v ei r I s
lífeyrisréttinda	l i: v ei r I s r j E h t I n t a
lífeyrisréttindi	l i: v ei r I s r j E h t I n t I
